new_sampleid	Bam_Id	Depth	Chimeric_Reads_NGScheck	Chimeric_Reads_flagstat	Mean_TLEN	Q30	FREEMIX	Yield	Yield_QC	sa.qc.callRate	sa.qc.dpMean	sa.qc.dpStDev	sa.qc.gqStDev	sa.hetStats.stdev	sa.qc.rHetHomVar	sa.qc.rTiTv	sa.qc.nSingleton	sa.qc.nSNP	sa.qc.nInsertion	sa.qc.nDeletion	sa.imputesex.Fstat	call_rate	f_stat	passes_qc0	passes_qc1	passes_qc2
7a621305-faac-44b4-9197-b45803611cba	45f349e4-f485-4c2a-b64f-7cced8e01120	29.2	0.0181	0.0109	396	89.16	0.00039	121.68	90.24	0.999452054795	30.2129934211	11.4179892319	16.09902919	0.577758637198	1.63924843424	3.99426276535	0	8705	9	3	0.0813200811546	0.95852	0.07856	TRUE	FALSE	TRUE
7b209523-5f43-4172-9392-47727acc0ad6	30adb313-29b4-4a9f-8f3d-97c024f0af24	36.5	0.016	0.0112	242	90.54	0.00017	123.13	112.57	0.999269406393	39.9359349296	10.5950454963	9.23658573708	0.473552890978	1.44831683168	4.00114942529	0	8702	7	1	0.995190157493	0.99549	0.99523	TRUE	FALSE	TRUE
7bba5868-b254-40ae-99d6-1a8fe60b436d	91b903b3-4b5a-4635-9643-16b750bb11a1	41.7	0.0144	0.0089	319	88.27	0.00037	137.86	128.15	0.998721461187	42.8640270666	9.68171607781	7.30633447013	0.439969732679	1.4905280129	4.16965352449	0	8654	6	0	0.102964372436	0.95713	0.10951	TRUE	TRUE	TRUE
7c05e64c-544c-454e-8194-bcb3d613983b	cca1e9d0-b9a5-415a-b4e4-e8ff3cec9be4	38.3	0.0117	0.008	294	90.1	1e-04	125.27	117.92	0.999086757991	39.8606032907	11.5701991439	11.0327317417	0.459308337989	1.52964905204	3.95913734393	0	8738	10	3	0.997592187475	0.99585	0.99762	TRUE	FALSE	TRUE
7c25f3f7-600c-4b20-a905-ff381ea6cf8a	8d778e90-b458-4e7c-9685-bd740f82fc2b	52.7	0.0157	0.012	308	87.45	0.00052	208.92	162.29	0.999452054795	51.475877193	16.3445618839	9.9346262365	0.385661783982	1.46996466431	3.9696287964	0	8836	2	1	0.0452462623518	0.95859	0.047607	TRUE	FALSE	TRUE
7c39fb86-3534-48a2-b867-70ced1f3c3d1	NA	0	NA	1	300	NA	1	NA	NA	0.999086757991	27.3198354662	12.2710025743	18.8635489529	0.674168825807	1.32573776616	4.06086461889	2	8897	8	3	0.203971065084	0.95786	0.20456	FALSE	FALSE	FALSE
7c5e745e-f006-4e49-8b9b-5d7c9a97f195	9c93a7c1-00ad-4f1a-8b5d-55212ff4f9d6	54.4	0.0334	0.0199	289	89.43	0.00021	195.2	167.75	0.998538812785	58.7485824035	16.8725406463	9.64751420837	0.423373907196	1.49390243902	3.9907030796	0	8589	6	2	-0.0293062965074	0.95815	-0.026204	TRUE	FALSE	TRUE
7c9a5a9a-5490-492a-aa78-12c0cb51d7bd	a9c87bfd-bd1c-4daf-9994-14c2190a1a3c	39.2	0.0136	0.0094	307	91.97	0.00022	129.61	120.59	0.998538812785	40.8222059631	9.01403478784	8.64656140138	0.414467821987	1.51144118828	3.84534368071	2	8741	6	2	0.211185828845	0.95764	0.21408	TRUE	FALSE	FALSE
7ca713eb-624a-4c4d-a534-470e9e2f2eca	471ce942-1dae-48e4-b517-841be9f35e7a	36.2	0.0181	0.0115	434	88.12	0.00026	138.13	112.26	0.999452054795	38.470120614	11.8462765475	9.29049228061	0.461868801899	1.62939698492	4.07502930832	0	8658	7	2	0.992780326062	0.99745	0.98809	TRUE	FALSE	TRUE
7d107915-7eb0-4626-b2bb-3a82b4cc3e64	bcd9d455-3e0e-43e4-9d8b-64d1c1b7e75d	37.7	0.0208	0.013	450	83.05	0.00022	137.55	116.89	0.999452054795	38.5545504386	11.9219004325	9.75789714626	0.486169007672	1.47732893652	4.02683363148	1	8430	5	1	0.0668905536335	0.95859	0.069036	TRUE	FALSE	TRUE
